,Question,1,2,3,4,5
14,"Suppression of serum insulin level by diazoxide does not alter serum testosterone or sex hormone-binding globulin levels in healthy, nonobese women.
 Suppression of serum insulin levels with diazoxide is associated with a decrease in serum testosterone and an increase in serum sex hormone-binding globulin in obese women with the polycystic ovary syndrome.
 To determine whether physiologic insulin levels play a regulatory role in the androgen status of nonobese women with normal menses, the androgen status of five nonobese normal women was assessed on two occasions: during a control study and after 10 days of oral diazoxide (100 mg, three times daily) administration.
 Insulin release in response to 100 gm oral glucose administration decreased from 108.0 +/- 28.2 to 49.3 +/- 5.2 nmol.min/L (p = 0.05) after diazoxide administration.
 However, despite suppression of insulin release, diazoxide administration did not affect serum total testosterone (diazoxide, 0.73 +/- 0.10; control, 0.69 +/- 0.11 nmol/L; p = NS) or sex hormone-binding globulin (diazoxide, 79.7 +/- 16.6; control, 70.2 +/- 12.6 nmol/L; p = NS) concentrations.
 These observations suggest that physiologic insulin levels in nonobese healthy women do not regulate testosterone metabolism and that diazoxide does not exert a direct or independent effect on serum testosterone or sex hormone-binding globulin levels.
",1,0,0,0,0
15,"Hypoxemia in the postanesthesia care unit: an observer study 
 To determine the incidence and duration of hypoxemia in the postanesthesia care unit (PACU), 200 patients were investigated in a single-blind observer study.
 The number of unrecognized hypoxemic episodes, as well as risk factors and possible association between hypoxemia and postoperative morbidity, were studied.
 Oxygenation was monitored continuously with a pulse oximeter.
 One or more hypoxemic episodes (SpO2 less than or equal to 90%) were noted in 55% of the patients.
 SpO2 values less than or equal to 80% were noted in 13% of the patients.
 Supplementary oxygen was given during 55% of the 447 hypoxemic episodes registered.
 The hypoxemic episodes were unrecognized by the staff in 95% of the cases.
 With stepwise multiple logistic regression analyses, risk factors associated with a higher incidence of hypoxemia were: duration of anesthesia (P less than 0.0001), age (P less than 0.002) and a history of smoking (P less than 0.01).
 Patients who had undergone regional anesthesia had a lower risk of hypoxemia (P less than 0.0002).
 The occurrence of hypoxemia in the PACU could not be correlated to postoperative morbidity.
 We conclude that hypoxemic episodes in our PACU are common and that the routine use of supplemental oxygen combined with normal clinical surveillance did not prevent hypoxemic episodes.
",0,0,0,0,1
16,"A profile of alcohol and prescription drug abuse in a high-risk community-based elderly population.
 Substance abuse among the elderly is relatively common but often remains undetected or ignored by health and social workers.
 Psychosocial and health factors related to the aging process are the major contributors to alcoholism and other drug abuse.
 It is estimated that between two and ten percent of individuals over the age of 60 suffer from alcoholism.
 This article profiles alcohol and prescription drug abuse among the geriatric clientele of Elderly Services of Spokane (ESS), a division of the Spokane (Washington) Community Mental Health Center.
 In addition to traditional channels, ESS uses a unique gatekeeper network to identify high-risk, community-based elderly.
 Elderly persons referred by gatekeepers are regarded as ""hidden"" elderly and at highest risk; notably, 37 percent of ESS clients are referred via this mechanism.
 Case management records of 1668 ESS clients were reviewed for a history of alcoholism, and a total of 161 persons (9.6 percent) were diagnosed with either primary or secondary alcohol abuse.
 Fifty subjects (about five percent of the average active ESS caseload) were referred for prescription drug abuse.
 Misused prescription drug classes were sedative-hypnotics, antianxiety agents, and analgesics.
 Diazepam, codeine, meprobamate, and flurazepam were the top four agents, and 92 percent of the subjects were found to have a duration of prescription drug abuse in excess of five years.
 A 60 percent correlation between prescription drug abuse and previous or active alcoholism was found.
 Additional characteristics of the geriatric study population are discussed in detail, including specific psychosocial factors, source of referral, age, gender, living situation, marital status, psychiatric history, and presence of polypharmacy.
",0,0,0,1,0
17,"Selective spatial attention in patients with visual extinction.
 The present study was designed to verify the attentional performance of patients with parietal lesions in the experimental condition in which they had to pay attention to 3 spatial positions located on the left, on the right and directly above the fixation stimulus (Experiment 1) and to only 1 of the 3 spatial positions at a time (Experiment 2).
 Twelve patients (6 subjects with right parietal lesions and 6 subjects without neurological deficits) participated in the experiment.
 The results of Experiment 1 showed that in patients with right parietal lesions the speed and accuracy of response to horizontally aligned stimuli increased gradually from right to left, whereas the control group showed only the effect due to the different retinal eccentricities of the 3 stimuli, that is, responses to central stimuli were faster and more accurate than responses to left and right stimuli.
 The results of Experiment 2 showed that both the neurological and control groups were faster to respond to central than to left and right stimuli, and that the neurological group was faster to respond to right than left stimuli, whereas no difference in RTs between two visual fields was obtained in the control group.
 Furthermore, when the patients had to respond to 3 spatial locations aligned horizontally (Experiment 1), the speed and accuracy of response to the right stimulus were the same as when they had to focus attention on it (Experiment 2).
 These results showed that the focus of attention in patients with visual extinction is on the rightmost stimulus and that the increased attention to the right is accompanied by a decreased attention to the left.
",0,1,0,0,0
18,"Effects of menstrual phase and amenorrhea on exercise performance in runners.
 There are few well controlled studies in terms of subject selection, menstrual classification, and exercise protocol that have examined both maximal and submaximal exercise responses during different phases of the menstrual cycle in eumenorrheic runners and compared these runners to amenorrheic runners.
 Thus, the purpose of this study was to measure selected physiological and metabolic responses to maximal and submaximal exercise during two phases of the menstrual cycle in eumenorrheic runners and amenorrheic runners.
 Eight eumenorrheic runners (29.0 +/- 4.2 yr) and eight amenorrheic runners (24.5 +/- 5.7 yr) matched for physical, gynecological, and training characteristics were studied.
 The eumenorrheic runners performed one maximal and one submaximal (40 min at 80% VO2max) treadmill run during both the early follicular (days 2-4) and midluteal (6-8 d from LH surge) phases.
 The amenorrheic runners performed one maximal and one submaximal (40 min at 80% VO2max) treadmill run.
 Cycle phases were documented by urinary luteinizing hormone and progesterone assays and by plasma estradiol and progesterone assays.
 No differences were observed in oxygen uptake, minute ventilation, heart rate, respiratory exchange ratio, rating of perceived exertion, time to fatigue (maximal), and plasma lactate (following the maximal and submaximal exercise tests) between the follicular and luteal phases in the eumenorrheic runners and the amenorrheic runners.
 We conclude that neither menstrual phase (follicular vs luteal) nor menstrual status (eumenorrheic vs amenorrheic) alters or limits exercise performance in female athletes.
",0,0,0,0,1
19,"The value of pulmonary artery and central venous monitoring in patients undergoing abdominal aortic reconstructive surgery: a comparative study of two selected, randomized groups.
 One hundred two patients undergoing abdominal aortic reconstructive surgery were prospectively, randomly allocated to two groups, one of which was monitored with a central venous catheter and the other with a pulmonary artery catheter.
 Patients with uncompensated cardiopulmonary or renal disease were excluded from the study.
 General anesthesia was administered for the surgical procedure, and the patients were followed through hospital discharge.
 No statistically significant differences occurred between the two groups with regard to morbidity (perioperative cardiac, pulmonary or renal sequelae), mortality rate, duration of intensive care, postoperative hospital stay, or cost of hospitalization.
 The one statistically significant difference between groups was the professional fee charged for anesthetic care, which was higher for patients with pulmonary artery catheters than for those with central venous catheters.
 In conclusion, we prospectively gathered data from most patients presented for abdominal aortic reconstructive surgery.
 Our data seem to indicate that the choice of central venous catheter or pulmonary artery catheter monitoring makes little difference in outcome after abdominal aortic reconstructive surgery, and that for many patients pulmonary artery catheters are not necessary to give appropriate, adequate care.
 Because of the size of the sample, however, declarations of epidemiologic significance would be unfounded.
 Therefore large-scale, multicenter studies addressing such outcomes remain necessary.
",0,0,1,0,0
20,"Muscle maximal O2 uptake at constant O2 delivery with and without CO in the blood.
 In the present study we investigated the effects of carboxyhemoglobinemia (HbCO) on muscle maximal O2 uptake (VO2max) during hypoxia.
 O2 uptake (VO2) was measured in isolated in situ canine gastrocnemius (n = 12) working maximally (isometric twitch contractions at 5 Hz for 3 min).
 The muscles were pump perfused at identical blood flow, arterial PO2 (PaO2) and total hemoglobin concentration [( Hb]) with blood containing either 1% (control) or 30% HbCO.
 In both conditions PaO2 was set at 30 Torr, which produced the same arterial O2 contents, and muscle blood flow was set at 120 ml.100 g-1.min-1, so that O2 delivery in both conditions was the same.
 To minimize CO diffusion into the tissues, perfusion with HbCO-containing blood was limited to the time of the contraction period.
 VO2max was 8.8 +/- 0.6 (SE) ml.min-1.100 g-1 (n = 12) with hypoxemia alone and was reduced by 26% to 6.5 +/- 0.4 ml.min-1.100 g-1 when HbCO was present (n = 12; P less than 0.01).
 In both cases, mean muscle effluent venous PO2 (PVO2) was the same (16 +/- 1 Torr).
 Because PaO2 and PVO2 were the same for both conditions, the mean capillary PO2 (estimate of mean O2 driving pressure) was probably not much different for the two conditions, even though the O2 dissociation curve was shifted to the left by HbCO.
 Consequently the blood-to-mitochondria O2 diffusive conductance was likely reduced by HbCO.
",0,0,0,0,1
21,"Clinical antecedents to in-hospital cardiopulmonary arrest.
 While the outcome of in-hospital cardiopulmonary arrest has been studied extensively, the clinical antecedents of arrest are less well defined.
 We studied a group of consecutive general hospital ward patients developing cardiopulmonary arrest.
 Prospectively determined definitions of underlying pathophysiology, severity of underlying disease, patient complaints, and clinical observations were used to determine common clinical features.
 Sixty-four patients arrested 161 +/- 26 hours following hospital admission.
 Pathophysiologic alterations preceding arrest were classified as respiratory in 24 patients (38 percent), metabolic in 7 (11 percent), cardiac in 6 (9 percent), neurologic in 4 (6 percent), multiple in 17 (27 percent), and unclassified in 6 (9 percent).
 Patients with multiple disturbances had mainly respiratory (39 percent) and metabolic (44 percent) disorders.
 Fifty-four patients (84 percent) had documented observations of clinical deterioration or new complaints within eight hours of arrest.
 Seventy percent of all patients had either deterioration of respiratory or mental function observed during this time.
 Routine laboratory tests obtained before arrest showed no consistent abnormalities, but vital signs showed a mean respiratory rate of 29 +/- 1 breaths per minute.
 The prognoses of patients' underlying diseases were classified as ultimately fatal in 26 (41 percent), nonfatal in 23 (36 percent), and rapidly fatal in 15 (23 percent).
 Five patients (8 percent) survived to hospital discharge.
 Patients developing arrest on the general hospital ward services have predominantly respiratory and metabolic derangements immediately preceding their arrests.
 Their underlying diseases are generally not rapidly fatal.
 Arrest is frequently preceded by a clinical deterioration involving either respiratory or mental function.
 These features and the high mortality associated with arrest suggest that efforts to predict and prevent arrest might prove beneficial.
",0,0,1,0,0
22,"Observer variability in the scoring of colpophotographs.
 Colposcopy and cervicography are accepted tools for assessing the cervix for an atypical transformation zone.
 We studied the validity of the colpophotograph as a measurement tool by determining the agreement of experienced colposcopists using colpophotographs of 50 women.
 Interobserver agreement was generally fair to good (kappa greater than or equal to 0.40) for the presence of the squamocolumnar junction and the area of ectopia but it was poor (kappa less than 0.40) for the area, border, and color characteristics of an atypical transformation zone.
 Intra-observer agreement was fair to good for the color characteristics of an atypical transformation zone, but it was poor for the area and border characteristics.
 We conclude that observer agreement studies should play a role in the validation of methods used in the visual diagnosis of cervical intraepithelial neoplasia.
 Considerable lack of agreement in reporting cytologic findings is a well-known problem, and lack of agreement might be an even bigger problem in reporting colposcopic findings.
",0,0,0,0,1
23,"Changes in thermal and mechanical pain thresholds in hand amputees. A clinical and physiological long-term follow-up.
 In a previous study, allodynia to cold and vibratory stimuli was found in the finger stumps of 24 patients with amputations, control values being obtained from fingers of the intact contralateral hand.
 When treated with regional intravenous guanethidine block (RGB), some of the patients only had short-lasting relief of symptoms, whereas others experienced a more long-lasting beneficial effect.
 In the present long-term follow-up study the patients were re-examined 6 years after the RGB treatment.
 The aim was to investigate whether the earlier symptoms and signs persisted, and whether there were any differences in these respects, between patients with long-lasting (group 1) and short-lasting relief of symptoms after RGB (group 2).
 All 24 patients were asked to answer a questionnaire concerning their clinical symptoms.
 In addition, 14 of them visited the laboratory for determination of thermal and vibration-induced pain thresholds.
 Comparisons were made with values obtained at the first examination before RGB treatment and with values from 14 healthy subjects tested in a similar way on 2 occasions with an interval of 8 years.
 Twenty of 23 patients reported that cold exposure still evoked stump pain.
 However, the threshold measurements showed that with time the patients had become more tolerant to thermal stimuli not only in the injured but also in the uninjured hand.
 A rise in pain threshold was also observed when vibration-induced pain was tested in the injured hand.
 There was no significant difference between groups 1 and 2.
 Similar changes in pain thresholds with time were not observed in the group of healthy control subjects.
",0,1,0,0,0
24,"Isoenzymes of aldehyde dehydrogenase in human lymphocytes.
 The types of isozymes of aldehyde dehydrogenase (ALDH) present in human lymphocytes has been investigated using isoelectric focusing of polyacrylamide gels followed by substrate-specific staining.
 Lymphocytes obtained from most individuals were found to contain both types I and II ALDH.
 This group of 'typical' individuals reported that they did not develop marked facial flushing or rapid heart rate after drinking alcohol nor did they develop an erythema to cutaneously applied ethanol.
 Lymphocytes obtained from 'atypical' individuals who do suffer from alcohol-induced flushing and rapid heart rate and who developed erythema to cutaneous ethanol displayed type II, but not type I, ALDH.
 Lymphocytes thus appear to be an easily accessible and suitable tissue for determining type I ALDH phenotype.
",0,0,0,0,1
25,"A downstream initiation element required for efficient TATA box binding and in vitro function of TFIID.
 The gfa gene encodes glial fibrillary acidic protein, an intermediate filament protein expressed in glial cells.
 In vitro transcription analysis has shown that the human gfa promoter contains two initiation elements that can independently specify the transcription startpoint.
 One of the elements is a TATA box 25 base pairs (bp) upstream from the transcription startpoint; the other is located between 10 and 50 bp downstream from the transcription initiation site.
 We have now shown by transfection that both elements are required for efficient transcription in cultured cells.
 A partially purified natural human TATA box-binding factor (TFIID) from HeLa cells gave footprints that extended from upstream of the TATA box through the downstream initiator.
 Deletion of the downstream initiator inhibited both TFIID binding to the TATA box and transcription in vitro.
 In contrast to natural human TFIID, clone human and yeast TFIIDs expressed in bacteria gave footprints covering only the TATA box region, although hypersensitive sites were observed in the downstream region.
 The cloned TFIIDs also showed less dependence than natural human TFIID on the downstream initiator for both TATA box binding and in vitro transcription.
 These results suggest that natural human TFIID contains an additional component(s) that contribute(s) to stable TFIID binding and effective transcription by interacting with the downstream initiator.
",1,0,0,0,0
